id,name,date,age,mins,played,G,NPG,maxG,maxNPG,G90,NPG90
1,Lionel Messi,2004-10-16,17.314,7,1,0,0,691,609,0.92,0.81
1,Lionel Messi,2004-12-11,17.467,196,6,0,0,691,609,0.92,0.81
1,Lionel Messi,2005-10-01,18.272,354,12,1,1,691,609,0.92,0.81
1,Lionel Messi,2005-11-19,18.407,677,18,2,2,691,609,0.92,0.81
1,Lionel Messi,2006-01-07,18.541,1110,24,3,3,691,609,0.92,0.81
1,Lionel Messi,2006-02-05,18.62,1453,30,8,8,691,609,0.92,0.81
1,Lionel Messi,2006-08-20,19.157,1771,36,9,9,691,609,0.92,0.81
1,Lionel Messi,2006-09-27,19.261,2213,42,12,12,691,609,0.92,0.81
1,Lionel Messi,2006-11-04,19.365,2753,48,13,13,691,609,0.92,0.81
1,Lionel Messi,2007-02-28,19.682,3036,54,13,13,691,609,0.92,0.81
1,Lionel Messi,2007-04-07,19.786,3550,60,18,18,691,609,0.92,0.81
1,Lionel Messi,2007-05-13,19.885,4058,66,20,20,691,609,0.92,0.81
1,Lionel Messi,2007-09-02,20.192,4560,72,26,26,691,609,0.92,0.81
1,Lionel Messi,2007-10-07,20.287,5051,78,34,33,691,609,0.92,0.81
1,Lionel Messi,2007-11-07,20.372,5516,84,36,35,691,609,0.92,0.81
1,Lionel Messi,2007-12-15,20.476,5992,90,38,35,691,609,0.92,0.81
1,Lionel Messi,2008-02-09,20.63,6397,96,38,35,691,609,0.92,0.81
1,Lionel Messi,2008-03-04,20.695,6809,102,41,38,691,609,0.92,0.81
1,Lionel Messi,2008-05-07,20.871,7211,108,42,38,691,609,0.92,0.81
1,Lionel Messi,2008-09-21,21.246,7665,114,45,40,691,609,0.92,0.81
1,Lionel Messi,2008-10-25,21.339,8125,120,50,44,691,609,0.92,0.81
1,Lionel Messi,2008-11-26,21.426,8559,126,55,49,691,609,0.92,0.81
1,Lionel Messi,2009-01-11,21.552,9082,132,62,55,691,609,0.92,0.81
1,Lionel Messi,2009-02-01,21.61,9415,138,67,60,691,609,0.92,0.81
1,Lionel Messi,2009-03-01,21.687,9843,144,68,61,691,609,0.92,0.81
1,Lionel Messi,2009-04-04,21.78,10266,150,72,64,691,609,0.92,0.81
1,Lionel Messi,2009-04-28,21.845,10806,156,76,68,691,609,0.92,0.81
1,Lionel Messi,2009-08-23,22.166,11346,162,82,74,691,609,0.92,0.81
1,Lionel Messi,2009-09-26,22.259,11832,168,87,79,691,609,0.92,0.81
1,Lionel Messi,2009-10-31,22.355,12372,174,89,81,691,609,0.92,0.81
1,Lionel Messi,2009-12-02,22.442,12731,180,91,82,691,609,0.92,0.81
1,Lionel Messi,2010-01-10,22.549,13248,186,99,90,691,609,0.92,0.81
1,Lionel Messi,2010-02-14,22.645,13788,192,103,94,691,609,0.92,0.81
1,Lionel Messi,2010-03-17,22.73,14327,198,111,102,691,609,0.92,0.81
1,Lionel Messi,2010-04-06,22.784,14812,204,119,110,691,609,0.92,0.81
1,Lionel Messi,2010-04-28,22.845,15300,210,120,111,691,609,0.92,0.81
1,Lionel Messi,2010-08-21,23.159,15788,216,130,121,691,609,0.92,0.81
1,Lionel Messi,2010-10-03,23.277,16267,222,135,126,691,609,0.92,0.81
1,Lionel Messi,2010-11-07,23.373,16807,228,143,134,691,609,0.92,0.81
1,Lionel Messi,2010-12-04,23.447,17286,234,152,142,691,609,0.92,0.81
1,Lionel Messi,2011-01-08,23.543,17709,240,155,145,691,609,0.92,0.81
1,Lionel Messi,2011-01-29,23.6,18245,246,164,153,691,609,0.92,0.81
1,Lionel Messi,2011-03-02,23.688,18785,252,170,159,691,609,0.92,0.81
1,Lionel Messi,2011-04-06,23.784,19273,258,172,160,691,609,0.92,0.81
1,Lionel Messi,2011-04-27,23.841,19785,264,179,165,691,609,0.92,0.81
1,Lionel Messi,2011-08-14,24.14,20325,270,181,167,691,609,0.92,0.81
1,Lionel Messi,2011-09-17,24.233,20802,276,189,175,691,609,0.92,0.81
1,Lionel Messi,2011-10-19,24.32,21342,282,196,182,691,609,0.92,0.81
1,Lionel Messi,2011-11-19,24.405,21882,288,204,188,691,609,0.92,0.81
1,Lionel Messi,2011-12-15,24.476,22422,294,207,190,691,609,0.92,0.81
1,Lionel Messi,2012-01-18,24.569,22845,300,213,195,691,609,0.92,0.81
1,Lionel Messi,2012-02-08,24.627,23385,306,217,199,691,609,0.92,0.81
1,Lionel Messi,2012-03-11,24.715,23925,312,230,211,691,609,0.92,0.81
1,Lionel Messi,2012-04-03,24.778,24465,318,238,216,691,609,0.92,0.81
1,Lionel Messi,2012-04-24,24.835,25005,324,243,219,691,609,0.92,0.81
1,Lionel Messi,2012-08-19,25.155,25545,330,255,227,691,609,0.92,0.81
1,Lionel Messi,2012-09-19,25.24,26025,336,263,233,691,609,0.92,0.81
1,Lionel Messi,2012-10-23,25.333,26565,342,268,238,691,609,0.92,0.81
1,Lionel Messi,2012-11-20,25.41,27105,348,277,247,691,609,0.92,0.81
1,Lionel Messi,2012-12-16,25.481,27587,354,287,257,691,609,0.92,0.81
1,Lionel Messi,2013-01-24,25.588,28119,360,293,262,691,609,0.92,0.81
1,Lionel Messi,2013-02-20,25.662,28659,366,301,268,691,609,0.92,0.81
1,Lionel Messi,2013-03-17,25.73,29137,372,308,275,691,609,0.92,0.81
1,Lionel Messi,2013-05-05,25.864,29456,378,313,280,691,609,0.92,0.81
1,Lionel Messi,2013-09-14,26.226,29933,384,319,285,691,609,0.92,0.81
1,Lionel Messi,2013-10-22,26.33,30334,390,325,291,691,609,0.92,0.81
1,Lionel Messi,2014-01-08,26.543,30741,396,329,294,691,609,0.92,0.81
1,Lionel Messi,2014-02-01,26.609,31235,402,332,296,691,609,0.92,0.81
1,Lionel Messi,2014-02-22,26.667,31759,408,339,302,691,609,0.92,0.81
1,Lionel Messi,2014-03-26,26.754,32299,414,348,309,691,609,0.92,0.81
1,Lionel Messi,2014-04-16,26.812,32839,420,351,310,691,609,0.92,0.81
1,Lionel Messi,2014-08-24,27.168,33379,426,356,315,691,609,0.92,0.81
1,Lionel Messi,2014-09-27,27.261,33919,432,359,318,691,609,0.92,0.81
1,Lionel Messi,2014-11-01,27.357,34436,438,363,322,691,609,0.92,0.81
1,Lionel Messi,2014-12-07,27.455,34976,444,374,333,691,609,0.92,0.81
1,Lionel Messi,2015-01-11,27.551,35470,450,379,337,691,609,0.92,0.81
1,Lionel Messi,2015-02-08,27.628,36010,456,387,344,691,609,0.92,0.81
1,Lionel Messi,2015-03-04,27.693,36550,462,392,348,691,609,0.92,0.81
1,Lionel Messi,2015-04-08,27.789,37090,468,398,352,691,609,0.92,0.81
1,Lionel Messi,2015-04-28,27.844,37630,474,403,356,691,609,0.92,0.81
1,Lionel Messi,2015-05-23,27.912,38170,480,410,363,691,609,0.92,0.81
1,Lionel Messi,2015-08-23,28.164,38740,486,415,368,691,609,0.92,0.81
1,Lionel Messi,2015-09-26,28.257,39139,492,418,370,691,609,0.92,0.81
1,Lionel Messi,2015-12-12,28.468,39623,498,423,375,691,609,0.92,0.81
1,Lionel Messi,2016-01-13,28.556,40163,504,430,382,691,609,0.92,0.81
